epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2941.67,0.73184,0.97758,1.25627,0.80944,0.59472,0.64228,0.49846,0.73977,0.78469,1.23245,0.000742625,0.000742625,0.000742625
43,3011.21,0.73438,0.96458,1.25169,0.79138,0.55397,0.59744,0.45573,0.7391,0.87096,1.22586,0.00073025,0.00073025,0.00073025
44,3079.78,0.74381,0.96173,1.26339,0.81039,0.58109,0.61107,0.48063,0.73415,0.78262,1.23736,0.000717875,0.000717875,0.000717875
45,3148.69,0.73898,0.96105,1.26117,0.8562,0.58517,0.63461,0.49752,0.74368,0.73837,1.22133,0.0007055,0.0007055,0.0007055
46,3218.18,0.73045,0.91996,1.24398,0.85002,0.56956,0.67164,0.4973,0.75158,0.77671,1.23643,0.000693125,0.000693125,0.000693125
47,3287.05,0.72819,0.92732,1.24737,0.83771,0.52543,0.60945,0.47211,0.73541,0.81585,1.21631,0.00068075,0.00068075,0.00068075
48,3355.71,0.72175,0.9194,1.24099,0.84119,0.59837,0.67108,0.52048,0.70703,0.75631,1.18308,0.000668375,0.000668375,0.000668375
49,3425.06,0.72676,0.91125,1.23791,0.82534,0.61049,0.65346,0.51562,0.7074,0.72169,1.1945,0.000656,0.000656,0.000656
50,3493.24,0.72146,0.90103,1.24342,0.83191,0.58449,0.66714,0.51934,0.70881,0.70673,1.19094,0.000643625,0.000643625,0.000643625
51,3561.29,0.71755,0.90218,1.24227,0.84841,0.61147,0.6396,0.50284,0.72839,0.70273,1.20079,0.00063125,0.00063125,0.00063125
52,3630.32,0.70019,0.89425,1.22899,0.84519,0.60738,0.68112,0.52198,0.71411,0.71656,1.19666,0.000618875,0.000618875,0.000618875
53,3698.74,0.70624,0.89585,1.23499,0.8511,0.60371,0.6581,0.51912,0.70999,0.70003,1.17405,0.0006065,0.0006065,0.0006065
54,3766.82,0.70273,0.87829,1.22627,0.85456,0.61249,0.6832,0.53961,0.70577,0.69345,1.18211,0.000594125,0.000594125,0.000594125
55,3835.54,0.689,0.86776,1.22504,0.82689,0.62431,0.68005,0.52706,0.69211,0.69721,1.16619,0.00058175,0.00058175,0.00058175
56,3904.36,0.68814,0.8696,1.21574,0.83423,0.61201,0.64573,0.51455,0.70179,0.69119,1.18337,0.000569375,0.000569375,0.000569375
57,3973.49,0.69138,0.86806,1.22038,0.83899,0.6097,0.65666,0.51721,0.70076,0.68031,1.18763,0.000557,0.000557,0.000557
58,4042.93,0.68046,0.85966,1.20858,0.84017,0.59617,0.68172,0.53686,0.69123,0.6927,1.17995,0.000544625,0.000544625,0.000544625
59,4111.74,0.67416,0.83973,1.20668,0.84581,0.61438,0.67024,0.53634,0.67701,0.68089,1.15797,0.00053225,0.00053225,0.00053225
60,4182.73,0.67236,0.83671,1.20446,0.84383,0.59317,0.68557,0.54379,0.67338,0.68879,1.1625,0.000519875,0.000519875,0.000519875
61,4251.93,0.66372,0.82239,1.2028,0.8445,0.60179,0.66106,0.52395,0.69344,0.68683,1.16949,0.0005075,0.0005075,0.0005075
62,4320.47,0.67921,0.85354,1.21049,0.84221,0.62352,0.67004,0.53352,0.66456,0.64964,1.14625,0.000495125,0.000495125,0.000495125
63,4388.57,0.66252,0.8233,1.20313,0.85385,0.60863,0.66829,0.53794,0.66431,0.67795,1.14915,0.00048275,0.00048275,0.00048275
64,4457.49,0.65619,0.83089,1.19649,0.84505,0.60678,0.65012,0.51934,0.69214,0.68528,1.18262,0.000470375,0.000470375,0.000470375
65,4525.96,0.66389,0.83111,1.19824,0.8352,0.61189,0.6625,0.52955,0.66608,0.65721,1.13676,0.000458,0.000458,0.000458
66,4594.63,0.66054,0.80654,1.19815,0.86329,0.60644,0.68393,0.54372,0.67005,0.67836,1.15032,0.000445625,0.000445625,0.000445625
67,4664.24,0.64812,0.79779,1.18105,0.85942,0.62223,0.68947,0.54839,0.65807,0.66106,1.13775,0.00043325,0.00043325,0.00043325
68,4733.91,0.64928,0.79986,1.18387,0.85621,0.61081,0.65264,0.52731,0.65524,0.67169,1.12723,0.000420875,0.000420875,0.000420875
69,4803.27,0.65304,0.79455,1.19713,0.83083,0.62822,0.65486,0.53364,0.658,0.65744,1.13049,0.0004085,0.0004085,0.0004085
70,4872.44,0.63104,0.79266,1.1834,0.85965,0.60395,0.66772,0.54196,0.64332,0.64942,1.12111,0.000396125,0.000396125,0.000396125
71,4941,0.63474,0.781,1.17872,0.8532,0.62007,0.66281,0.53517,0.65893,0.67582,1.13155,0.00038375,0.00038375,0.00038375
72,5009.66,0.64171,0.77803,1.18392,0.84936,0.62747,0.65437,0.53419,0.66175,0.65301,1.13721,0.000371375,0.000371375,0.000371375
73,5078.84,0.61681,0.75694,1.1675,0.86277,0.6213,0.66104,0.54096,0.63749,0.64646,1.11764,0.000359,0.000359,0.000359
74,5147.57,0.628,0.78159,1.17764,0.83971,0.6093,0.68195,0.54127,0.63006,0.66877,1.11734,0.000346625,0.000346625,0.000346625
75,5216.33,0.62775,0.76902,1.17791,0.84592,0.60581,0.68567,0.55462,0.63981,0.64944,1.11599,0.00033425,0.00033425,0.00033425
76,5285.88,0.60894,0.74947,1.165,0.87046,0.59988,0.67398,0.55171,0.63851,0.64426,1.12042,0.000321875,0.000321875,0.000321875
77,5354.55,0.62022,0.74769,1.17421,0.86991,0.61291,0.69156,0.56509,0.64779,0.65011,1.12066,0.0003095,0.0003095,0.0003095
78,5423.02,0.6123,0.71969,1.16169,0.84067,0.63186,0.66759,0.55128,0.62146,0.62228,1.10171,0.000297125,0.000297125,0.000297125
79,5492.42,0.61415,0.73504,1.1646,0.86196,0.61301,0.6926,0.56586,0.64092,0.63872,1.1304,0.00028475,0.00028475,0.00028475
80,5561.8,0.59372,0.72145,1.15765,0.86428,0.60729,0.68967,0.56159,0.61544,0.66005,1.08967,0.000272375,0.000272375,0.000272375
81,5630.86,0.61256,0.71295,1.15621,0.8692,0.61219,0.69297,0.56481,0.63042,0.64543,1.11107,0.00026,0.00026,0.00026
82,5700.08,0.59277,0.71425,1.15435,0.85364,0.62433,0.68781,0.56529,0.62427,0.65057,1.10012,0.000247625,0.000247625,0.000247625
83,5768.71,0.59144,0.70842,1.14819,0.84065,0.62676,0.68846,0.57097,0.60951,0.63944,1.08614,0.00023525,0.00023525,0.00023525
84,5838.08,0.58089,0.70105,1.14324,0.85628,0.62643,0.66552,0.55126,0.62704,0.62926,1.10918,0.000222875,0.000222875,0.000222875
85,5906.7,0.5823,0.69291,1.14695,0.84697,0.62657,0.66385,0.55143,0.62105,0.63034,1.10482,0.0002105,0.0002105,0.0002105
86,5975.26,0.58043,0.67623,1.14407,0.85507,0.6131,0.68675,0.56845,0.62876,0.64407,1.11231,0.000198125,0.000198125,0.000198125
87,6045.08,0.58595,0.67714,1.1435,0.85542,0.6237,0.6907,0.57038,0.61573,0.64822,1.09485,0.00018575,0.00018575,0.00018575
88,6114.17,0.58292,0.68908,1.14804,0.83798,0.62253,0.68456,0.55908,0.62259,0.64839,1.10281,0.000173375,0.000173375,0.000173375
89,6183.01,0.58263,0.6866,1.14019,0.86172,0.60921,0.68759,0.56433,0.61513,0.63543,1.09852,0.000161,0.000161,0.000161
90,6252.21,0.57335,0.68544,1.13404,0.85595,0.62416,0.69082,0.56504,0.61898,0.64071,1.09464,0.000148625,0.000148625,0.000148625
